Drug_Name,Drug_Type,MRP,Manufacturer,Pack_Size,Product_Introduction,Uses,Benefits,How_It_Works,Common_Side_Effects,How_To_Use,Scraped_At
Aciloc 150 Tablet,Tablet,₹ 50.44,Cadila Pharmaceuticals Ltd,150 Tablet,"Aciloc 150 Tablet is a medicine that reduces the amount of acid your stomach makes. It is used to treat and prevent heartburn, indigestion, and other symptoms caused by too much acid in the stomach. It is also used to treat and prevent stomach ulcers, reflux disease, and some rarer conditions. Aciloc 150 Tablet is also commonly prescribed to prevent stomach ulcers and heartburn seen with the use of painkillers. The medicine must be taken in dose and duration as prescribed by the doctor. How much you need, and how often you take it, will depend on what you are being treated for. Follow the advice of your doctor. This medicine should relieve indigestion and heartburn within a few hours and you may only need to take it for a short time when you have symptoms. If you are taking it to prevent ulcers and other conditions you may need to take it for longer. You should keep taking it regularly to prevent problems from happening in the future. You may be able to help improve your symptoms by ea",Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,"In Gastroesophageal reflux disease (Acid reflux) Aciloc 150 Tablet provides relief in gastroesophageal reflux disease (GERD) by reducing the amount of acid produced in the stomach. This helps ease symptoms like heartburn, acid reflux, and discomfort after meals, allowing better digestion and improved comfort.",Aciloc 150 Tablet is a histamine H2 receptor blocker that reduces the amount of acid made in the stomach. It relieves acid-related indigestion and heartburn.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Aciloc 150 Tablet Headache Gastrointestinal disturbance Diarrhea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Aciloc 150 Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:36
Actorise 100 Injection,Injection,"₹ 7,549",Cipla Ltd,0.5 ml,"Actorise 100 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 100 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional. It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures). Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor",Treatment of Anemia due to cancer chemotherapy Treatment of Anemia due to chronic kidney disease,"In Treatment of Anemia due to cancer chemotherapy Low red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 100 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy. In Treatment of Anemia due to chronic kidney disease Anemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 100 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life. show more show less",Actorise 100 Injection is an erythropoiesis-stimulating agent (ESA). It works by stimulating the bone marrow (soft tissue inside the bones which produces red blood cells) to produce more red blood cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Actorise Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension (low blood pressure) Convulsion Thromboembolism Angina (heart related chest pain),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:36
Actorise 200 Injection,Injection,"₹ 14,069",Cipla Ltd,0.4 ml,"Actorise 200 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 200 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional. It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures). Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor",Treatment of Anemia due to cancer chemotherapy Treatment of Anemia due to chronic kidney disease,"In Treatment of Anemia due to cancer chemotherapy Low red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 200 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy. In Treatment of Anemia due to chronic kidney disease Anemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 200 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life. show more show less",Actorise 200 Injection is an erythropoiesis-stimulating agent (ESA). It works by stimulating the bone marrow (soft tissue inside the bones which produces red blood cells) to produce more red blood cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Actorise Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension (low blood pressure) Convulsion Thromboembolism Angina (heart related chest pain),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:36
Actorise 25 Injection,Injection,,Cipla Ltd,0.42 ml,"Actorise 25 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 25 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional. It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures). Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor i",Treatment of Anemia due to cancer chemotherapy Treatment of Anemia due to chronic kidney disease,"In Treatment of Anemia due to cancer chemotherapy Low red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 25 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy. In Treatment of Anemia due to chronic kidney disease Anemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 25 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life. show more show less",Actorise 25 Injection is an erythropoiesis-stimulating agent (ESA). It works by stimulating the bone marrow (soft tissue inside the bones which produces red blood cells) to produce more red blood cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Actorise Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension (low blood pressure) Convulsion Thromboembolism Angina (heart related chest pain),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:36
Actorise 40 Injection,Injection,,Cipla Ltd,0.4 ml,"Actorise 40 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 40 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional. It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures). Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor i",Treatment of Anemia due to cancer chemotherapy Treatment of Anemia due to chronic kidney disease,"In Treatment of Anemia due to cancer chemotherapy Low red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 40 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy. In Treatment of Anemia due to chronic kidney disease Anemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 40 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life. show more show less",Actorise 40 Injection is an erythropoiesis-stimulating agent (ESA). It works by stimulating the bone marrow (soft tissue inside the bones which produces red blood cells) to produce more red blood cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Actorise Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension (low blood pressure) Convulsion Thromboembolism Angina (heart related chest pain),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:36
Actorise 60 Injection,Injection,,Cipla Ltd,0.3 ml,"Actorise 60 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 60 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional. It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures). Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor i",Treatment of Anemia due to cancer chemotherapy Treatment of Anemia due to chronic kidney disease,"In Treatment of Anemia due to cancer chemotherapy Low red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 60 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy. In Treatment of Anemia due to chronic kidney disease Anemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 60 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life. show more show less",Actorise 60 Injection is an erythropoiesis-stimulating agent (ESA). It works by stimulating the bone marrow (soft tissue inside the bones which produces red blood cells) to produce more red blood cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Actorise Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension (low blood pressure) Convulsion Thromboembolism Angina (heart related chest pain),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:36
ALECensa 150mg Capsule,Capsule,"₹ 1,24,607",Roche Products India Pvt Ltd,7.0 strip,"ALECensa 150mg Capsule is a medicine used to treat non-small cell lung cancer (NSCLC) that is positive for a genetic mutation called ALK (anaplastic lymphoma kinase). It is usually prescribed when the cancer has spread to other parts of the body or has returned after treatment. ALECensa 150mg Capsule works by blocking the activity of the abnormal ALK protein that drives the growth and spread of cancer cells. This way it helps slow down or stop the progression of the disease and may help shrink the tumor. Take ALECensa 150mg Capsule exactly as prescribed by your doctor, usually with food. For best results, take the doses at the same time each day to maintain a consistent level of the medicine in your body. Do not skip or stop taking the medicine unless advised by your doctor, even if you feel better. During treatment, your doctor may recommend regular blood tests and scans to check how well the medicine is working and to monitor for any side effects. Stay active, eat a nutritious diet,",Treatment of Non-small cell lung cancer,"In Treatment of Non-small cell lung cancer Non-small cell lung cancer is a type of lung cancer that can cause persistent cough, chest pain, breathing difficulty, and weight loss. ALECensa 150mg Capsule is used in patients who are suffering from cancer. It helps slow the growth and spread of the cancer, improves symptoms, and supports a better quality of life.","ALECensa 150mg Capsule is an anticancer medication. It works by blocking certain receptors found on the cancer cells. These receptors cause the cancer cells to grow and multiply very fast. Hence, blocking them helps to slow or stop tumor growth.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of ALECensa Tiredness Constipation Peripheral edema Muscle pain Muscle weakness Decreased red blood cell count,Take this medicine in the dose and duration as advised by your doctor. Check the label before use. ALECensa 150mg Capsule is to be taken with food.,21-10-2025 17:36
Alex Syrup,Syrup,₹ 144.84,Glenmark Pharmaceuticals Ltd,5 ml,"Alex Syrup is a medicine used in the treatment of common cold and cough. It can provide quick relief from cough and common cold symptoms like runny nose, stuffy nose, sneezing, watery eyes, and congestion or stuffiness. Alex Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Common side effects of this medicine include headache, sedation, double vision, vomiting, diarrhea, dry mouth, and nausea. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause s",Treatment of Dry cough Common cold,"In Treatment of Dry cough A dry cough, also known as non-productive cough, is a cough where no phlegm or mucus is produced. This is irritating, usually associated with a tickly throat and may be caused due to cold, flu, allergies or throat irritants. Alex Syrup suppresses dry, hacking coughs. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily. This medicine can provide a quick relief and the effects can last up to several hours. In Common cold Alex Syrup effectively relieves symptoms associated with common cold, such as a blocked nose, runny nose, watery eyes, sneezing, and congestion or stuffiness. It helps loosen thick mucus, making it easier to cough out. It also shrinks the blood vessels and provides rapid relief that lasts for several hours. These actions make breathing easier. Alex Syrup usually starts working within a few minutes, and the effects can last up to several hours.","Alex Syrup is a combination of three medicines: Phenylephrine, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide. Phenylephrine is a decongestant which narrows the small blood vessels providing relief from congestion or stuffiness in the nose. Chlorpheniramine Maleate is an antiallergic which relieves allergy symptoms like runny nose, watery eyes and sneezing. Dextromethorphan Hydrobromide is a cough suppressant which relieves cough by reducing the activity of cough center in the brain.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Alex Sedation Double vision Vomiting Diarrhea Dryness in mouth Nervousness Headache Nausea Heartburn Dizziness Weakness Insomnia (difficulty in sleeping) Hallucination Convulsion,"Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Alex Syrup may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:36
Allegra 120mg Tablet,Tablet,₹ 248.18,Sanofi Consumer Healthcare India Limited,120 Tablet,"Allegra 120mg Tablet is an anti-allergy medicine used in the treatment of allergic symptoms such as runny nose, congestion or stuffiness, sneezing, itching, swelling, and watery eyes. It also helps treat skin allergies with itching, redness, or swelling. Allegra 120mg Tablet may be taken with or without food, in the dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. Do not stop taking it without consulting your doctor. The most common side effects are headache, drowsiness, dizziness, and nausea. Most of these are temporary and usually resolve with time. Please consult your doctor if any of these side effects do not resolve or persist for a longer duration. Do not self-medicate or recommend your medicine to another person even if you see the similarity in symptoms. Consult your doctor to get the most benefit. Inform your doctor if",Allergic conditions Treatment of Sneezing and runny nose due to allergies,"In Treatment of Sneezing and runny nose due to allergies Allegra 120mg Tablet provides relief from symptoms such as sneezing, itching, watery eyes, and runny nose. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.","Allegra 120mg Tablet belongs to a class of medicines called antihistamines. It blocks the effects of a chemical called histamine, which is responsible for causing inflammation and its associated symptoms such as itching, redness, swelling, and irritation.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Allegra 120mg Tablet Headache Drowsiness Dizziness Nausea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Allegra 120mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:37
Allegra-M Tablet,Tablet,₹ 273.61,Sanofi India Ltd,1 Strip,"Allegra-M Tablet is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes, and congestion or stuffiness. Allegra-M Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects include nausea, diarrhea, vomiting, skin rash, flu-like symptoms, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine may cause dizziness and sleepiness, so do not drive or do anything that r",Treatment of Sneezing and runny nose due to allergies,"In Treatment of Sneezing and runny nose due to allergies Allegra-M Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.","Montelukast is a leukotriene antagonist. It works by blocking the action of a chemical messenger called leukotriene. This reduces inflammation (swelling) in the airways and nose and improves symptoms. Fexofenadine is an antiallergic which blocks the action of another chemical messenger (histamine) responsible for runny nose, watery eyes and sneezing.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Allegra-M Nausea Diarrhea Vomiting Flu-like symptoms Headache Drowsiness Dizziness Upper respiratory tract infection Increased transaminase level in blood Fever Skin rash,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Allegra-M Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:37
